angular_velocity,sin,cos,epoch
2.548312925620768166e-01,1.149181155386840014e-02,-1.320834189137148895e-02,1.784447910378998041e+09
2.541394499882618785e-01,1.149134020158142089e-02,-1.322462239762661751e-02,1.784447910411998034e+09
2.534578508682476805e-01,1.149095265167814073e-02,-1.324057390883898178e-02,1.784447910444998026e+09
2.527863378357471102e-01,1.149064376101575913e-02,-1.325620313353031987e-02,1.784447910477998018e+09
2.521247561238089130e-01,1.149040862310128641e-02,-1.327151668102527493e-02,1.784447910510998011e+09
2.514729535177513409e-01,1.149024255902857117e-02,-1.328652106027367052e-02,1.784447910543998003e+09
2.508307803088347665e-01,1.149014110872796646e-02,-1.330122267886996168e-02,1.784447910576997995e+09
2.501980892491848518e-01,1.149010002247889684e-02,-1.331562784226630880e-02,1.784447910609997988e+09
2.495747355072273077e-01,1.149011525269953704e-02,-1.332974275315440549e-02,1.784447910642997980e+09
2.489605766239753049e-01,1.149018294601715506e-02,-1.334357351103382383e-02,1.784447910675997972e+09
2.483554724703400662e-01,1.149029943558714517e-02,-1.335712611190470467e-02,1.784447910708997965e+09
2.477592852050667371e-01,1.149046123367851446e-02,-1.337040644813985990e-02,1.784447910741997957e+09
2.471718792336365933e-01,1.149066502449029581e-02,-1.338342030846878528e-02,1.784447910774997950e+09
2.465931211679082136e-01,1.149090765723441432e-02,-1.339617337810200537e-02,1.784447910807997942e+09
2.460228797863270866e-01,1.149118613942105849e-02,-1.340867123897621083e-02,1.784447910840997934e+09
2.454610259951583995e-01,1.149149763041050487e-02,-1.342091937010420066e-02,1.784447910873997927e+09
2.449074327904587900e-01,1.149183943514968387e-02,-1.343292314803140597e-02,1.784447910906997919e+09
2.443619752204460038e-01,1.149220899815033003e-02,-1.344468784738656053e-02,1.784447910939997911e+09
2.438245303491759497e-01,1.149260389766963708e-02,-1.345621864152474201e-02,1.784447910972997904e+09
2.432949772203902850e-01,1.149302184009697025e-02,-1.346752060325212552e-02,1.784447911005997896e+09
2.427731968221598091e-01,1.149346065452531984e-02,-1.347859870562534423e-02,1.784447911038997889e+09
2.422590720526078822e-01,1.149391828753591749e-02,-1.348945782282190420e-02,1.784447911071997881e+09
2.417524876857475302e-01,1.149439279815693549e-02,-1.350010273107277170e-02,1.784447911104997873e+09
2.412533303383985750e-01,1.149488235300692718e-02,-1.351053810965535673e-02,1.784447911137997866e+09
2.407614884375595121e-01,1.149538522161590304e-02,-1.352076854194866895e-02,1.784447911170997858e+09
2.402768521883478225e-01,1.149589977190627887e-02,-1.353079851651867171e-02,1.784447911203997850e+09
2.397993135427360922e-01,1.149642446586211786e-02,-1.354063242826580860e-02,1.784447911236997843e+09
